x_data		y_data
0.950000	-0.000362
0.951000	-0.000679
0.952000	-0.000792
0.953000	-0.000543
0.954000	0.000106
0.955000	0.001010
0.956000	0.001837
0.957000	0.002155
0.958000	0.001600
0.959000	0.000065
0.960000	-0.002156
0.961000	-0.004363
0.962000	-0.005608
0.963000	-0.005014
0.964000	-0.002150
0.965000	0.002659
0.966000	0.008242
0.967000	0.012781
0.968000	0.014296
0.969000	0.011303
0.970000	0.003440
0.971000	-0.008149
0.972000	-0.020845
0.973000	-0.031056
0.974000	-0.035093
0.975000	-0.030217
0.976000	-0.015565
0.977000	0.007319
0.978000	0.034517
0.979000	0.060376
0.980000	0.078627
0.981000	0.083724
0.982000	0.072106
0.983000	0.043091
0.984000	-0.000800
0.985000	-0.054134
0.986000	-0.109403
0.987000	-0.158217
0.988000	-0.192595
0.989000	-0.206120
0.990000	-0.194762
0.991000	-0.157262
0.992000	-0.095066
0.993000	-0.011889
0.994000	0.086976
0.995000	0.195446
0.996000	0.307416
0.997000	0.417379
0.998000	0.520860
0.999000	0.614635
